@RELATION dataset

@ATTRIBUTE class {p, e}
@ATTRIBUTE cap-shape {b, x, s, f, o, c, p}
@ATTRIBUTE cap-surface {t, g, d, y, ?, s, h, l, w, i, k, e}
@ATTRIBUTE cap-color {w, n, o, e, y, p, r, k, g, u, l, b}
@ATTRIBUTE gill-color {w, y, p, g, r, e, f, n, o, u, k, b}
@ATTRIBUTE stem-surface {y, ?, i, s, g, h, t, k, f}
@ATTRIBUTE stem-color {w, e, n, y, g, r, o, k, p, u, f, l, b}
@ATTRIBUTE veil-type {u, ?}
@ATTRIBUTE veil-color {w, ?, y, u, n, k, e}
@ATTRIBUTE has-ring {t, f}
@ATTRIBUTE ring-type {l, f, p, g, e, ?, r, m, z}
@ATTRIBUTE spore-print-color {?, w, n, p, k, g, r, u}

@DATA
p,s,k,y,n,k,n,?,?,t,f,?
p,b,?,n,g,s,g,?,?,f,f,?
e,x,y,n,w,?,w,?,?,f,f,?
p,x,i,k,p,?,w,?,?,f,f,p
p,x,?,w,w,i,w,?,?,f,f,?
e,x,t,n,o,t,o,?,?,f,f,?
e,s,l,n,f,?,n,?,?,f,f,g
p,x,h,e,w,?,w,?,?,f,f,?
e,x,?,n,n,?,n,?,w,t,?,?
p,s,k,w,w,?,w,?,?,f,f,?
p,o,l,g,f,f,f,?,?,f,f,?
p,b,?,g,g,s,n,?,?,f,f,?
e,s,e,g,w,?,w,?,?,f,f,?
e,s,?,n,w,s,w,?,?,f,f,?
p,f,?,w,p,?,p,?,?,f,f,?
p,x,i,l,p,?,w,?,?,f,f,p
p,f,t,n,n,?,n,?,?,f,f,?
e,x,?,p,w,s,w,?,?,f,f,?
e,x,h,n,y,s,n,?,?,f,f,?
p,x,g,n,n,s,k,?,?,f,f,?
e,b,g,g,g,s,n,?,?,f,f,?
e,b,g,w,g,?,w,?,?,f,f,?
e,f,h,g,g,s,g,?,?,f,f,?
p,o,t,w,w,f,f,?,?,f,f,n
e,x,y,n,w,?,n,?,w,t,e,?
p,s,?,r,o,?,w,?,?,t,f,?
p,f,?,n,p,?,n,?,?,f,f,?
e,x,?,g,g,y,w,?,?,f,f,?
e,x,?,b,w,?,w,?,?,f,f,?
p,s,?,e,b,?,e,?,?,f,f,?
e,x,h,n,y,?,n,?,?,f,f,?
e,x,h,n,y,?,n,?,w,t,p,?
p,x,y,n,w,y,n,?,?,t,r,?
p,x,w,p,p,?,p,?,?,f,f,?
p,o,l,g,f,f,f,?,?,f,f,?
e,s,?,y,f,?,y,?,?,f,f,?
e,f,h,o,y,t,o,?,?,f,f,?
p,f,?,w,n,i,w,?,?,f,f,?
e,c,g,n,g,?,g,?,?,f,f,?
e,x,t,n,n,?,n,?,w,t,p,?
p,c,?,u,w,i,u,?,?,f,f,?
e,x,s,n,w,i,n,?,?,f,f,p
p,b,i,e,k,?,y,?,?,f,f,?
e,x,?,y,y,?,w,?,?,f,f,?
p,b,g,y,n,?,n,?,?,f,f,?
e,s,d,u,p,?,n,?,?,f,f,?
e,x,t,y,y,?,w,?,?,f,f,?
p,o,?,e,f,g,n,?,?,f,f,?
p,x,g,y,n,s,n,?,?,f,f,?
p,x,k,w,p,?,n,?,?,f,f,p
e,s,t,p,o,?,w,?,?,f,f,?
e,f,?,n,g,?,u,?,?,f,f,?
p,x,y,r,g,y,l,?,?,t,e,u
p,o,?,n,f,g,n,?,?,f,f,?
p,o,s,w,w,f,f,?,?,f,f,n
p,f,?,y,n,?,w,?,?,f,f,?
p,x,i,n,n,?,n,?,n,f,f,?
p,s,s,n,y,k,n,?,?,f,f,?
p,x,y,o,o,?,y,?,?,f,f,?
p,x,t,n,n,?,r,?,?,f,f,?
e,x,?,w,n,?,n,?,w,t,?,?
p,x,s,n,g,y,n,?,?,f,f,?
e,f,?,w,w,?,w,?,?,f,f,?
e,x,?,y,o,?,w,?,?,f,f,?
e,x,t,y,y,?,y,?,y,t,?,?
e,s,d,p,p,?,n,?,?,f,f,?
p,x,t,n,n,?,n,?,?,f,f,?
p,x,e,n,y,?,y,?,?,f,f,?
p,s,h,g,g,t,n,?,?,f,f,?
e,b,y,n,k,?,w,?,?,f,f,?
p,b,h,n,n,?,w,?,?,t,?,k
p,s,?,n,b,?,e,?,?,f,f,?
p,x,?,n,k,s,n,?,?,f,f,k
p,x,e,y,e,?,u,?,?,f,f,?
e,x,y,w,k,?,w,?,w,t,e,?
p,x,k,w,w,?,w,?,?,f,f,?
p,x,e,y,o,?,o,?,?,t,r,n
p,f,?,w,w,i,w,?,?,f,f,?
p,f,y,e,y,y,u,?,?,f,f,?
e,f,h,g,g,s,g,?,?,f,f,?
e,x,w,n,k,?,w,?,?,f,f,?
p,o,l,g,f,f,f,?,?,f,f,?
e,x,h,g,n,t,g,?,?,t,l,?
p,x,g,p,p,h,k,?,?,f,f,?
p,s,?,y,o,?,w,?,?,t,f,?
p,x,h,n,n,y,n,?,?,t,z,?
e,f,?,y,w,?,w,?,?,f,f,?
e,f,?,u,u,?,u,?,?,f,f,?
e,x,?,u,u,?,w,?,?,f,f,?
p,x,y,y,w,y,n,?,?,t,r,?
e,x,?,l,r,?,l,?,?,f,f,?
p,b,t,n,n,?,w,?,?,t,?,k
p,s,?,o,o,?,w,?,?,t,f,?
e,f,?,n,p,?,u,?,?,f,f,?
p,f,?,y,n,?,w,?,?,f,f,?
e,s,s,b,b,?,w,?,?,f,f,?
p,x,s,y,r,?,y,u,w,t,z,k
e,x,s,w,n,?,w,?,?,t,l,?
p,b,g,o,n,?,n,?,?,f,f,?
e,p,s,w,n,?,w,?,w,t,e,?
p,o,l,g,f,f,f,?,?,f,f,?
e,s,?,g,g,?,u,?,?,f,f,?
p,x,t,n,w,?,w,?,?,f,f,?
p,x,s,g,r,i,n,?,?,f,f,?
p,x,y,n,n,y,n,?,?,t,?,?
e,x,d,y,y,?,y,?,?,f,f,?
p,x,i,n,k,i,n,?,k,t,z,k
e,b,g,n,g,s,n,?,?,f,f,?
e,s,d,n,p,?,n,?,?,f,f,?
e,x,y,n,w,?,n,?,w,t,e,?
e,f,d,w,w,?,w,?,?,f,f,?
e,x,?,g,w,?,w,?,?,f,f,?
e,f,w,g,k,?,w,?,?,f,f,?
e,o,l,n,f,?,n,?,?,f,f,g
e,o,y,y,y,k,k,?,?,f,f,?
e,p,d,e,n,y,w,?,?,f,f,?
p,x,g,y,y,?,y,?,?,f,f,?
p,c,e,y,y,?,w,?,?,f,f,?
p,x,i,l,w,?,w,?,?,f,f,p
p,f,y,y,y,y,e,?,?,f,f,?
e,p,y,w,w,?,n,?,?,t,m,?
p,s,d,y,y,?,o,?,?,f,f,?
e,s,t,k,y,?,w,?,?,f,f,w
p,s,?,e,w,?,n,?,?,f,f,?
e,x,t,y,w,t,y,?,?,f,f,?
p,c,?,u,w,i,u,?,?,f,f,?
e,f,g,n,g,s,n,?,?,f,f,?
p,b,i,e,y,?,k,?,?,f,f,?
e,x,s,n,y,?,n,?,w,t,p,?
p,x,g,y,y,?,w,?,?,f,f,?
e,f,?,b,w,?,w,?,?,f,f,?
e,s,t,o,o,?,w,?,?,f,f,?
e,p,i,n,p,y,w,?,?,t,l,?
p,s,k,y,n,k,n,?,?,t,f,?
p,x,i,e,e,?,e,?,?,f,f,n
p,x,k,n,n,?,n,?,?,f,f,?
e,f,t,o,n,i,n,?,?,f,f,?
p,f,d,n,y,k,k,?,?,f,f,?
e,x,h,y,y,?,w,?,?,f,f,?
p,x,?,n,w,?,w,u,w,t,g,?
p,x,?,o,o,?,o,?,?,f,f,w
e,x,d,n,r,?,e,?,?,f,f,?
p,x,y,y,y,y,y,?,?,t,?,?
p,x,g,e,w,?,n,?,?,f,f,?
p,o,?,e,f,g,n,?,?,f,f,?
p,b,h,r,u,y,w,?,?,t,e,u
p,x,t,o,y,g,o,?,?,f,f,?
e,o,y,y,y,k,k,?,?,f,f,?
e,b,g,w,w,?,y,?,?,f,f,?
p,x,g,o,w,y,w,u,w,t,g,?
p,o,s,g,f,f,f,?,?,t,f,?
p,x,h,o,n,y,n,?,?,t,z,?
p,x,e,n,n,?,n,?,n,f,f,?
p,x,?,o,o,?,y,?,?,f,f,w
p,f,?,n,w,?,w,u,w,t,g,?
p,x,h,e,w,y,w,u,w,t,p,?
p,x,?,n,w,i,w,?,?,f,f,?
e,s,?,n,g,?,u,?,?,f,f,?
e,f,s,w,k,?,w,?,w,t,e,?
p,f,?,n,w,i,w,?,?,f,f,?
p,p,s,g,k,s,w,?,?,t,z,?
p,b,h,r,g,y,w,?,?,t,e,u
p,s,t,p,p,?,p,?,?,t,f,?
e,f,s,w,w,?,w,?,?,f,f,?
p,f,d,y,r,t,y,?,?,f,f,?
e,x,?,n,u,?,w,?,?,f,f,?
p,x,s,y,r,?,y,u,w,t,z,r
e,x,i,n,p,y,w,?,?,t,l,?
p,s,t,k,n,?,r,?,?,f,f,?
p,x,g,n,n,s,n,?,?,f,f,?
e,b,g,g,g,?,w,?,?,f,f,?
p,f,y,e,y,y,e,?,?,f,f,?
p,s,d,n,n,?,e,?,?,f,f,?
p,x,h,y,y,i,n,?,?,f,f,?
p,f,t,e,w,?,w,?,?,f,f,?
p,b,s,g,k,s,w,?,?,t,z,?
p,f,y,y,y,y,u,?,?,f,f,?
e,x,h,n,n,t,g,?,?,t,l,?
e,x,?,n,w,?,w,?,w,t,?,?
p,x,g,e,w,y,w,u,w,t,g,?
p,b,t,n,n,?,w,?,?,t,?,k
p,f,y,e,y,y,y,?,?,f,f,?
p,f,t,k,w,?,r,?,?,f,f,?
e,f,s,n,w,s,n,?,?,f,f,?
e,x,w,y,f,?,y,?,?,f,f,?
p,s,h,n,g,t,n,?,?,f,f,?
p,b,h,n,k,?,w,?,?,t,?,k
p,c,h,y,y,?,y,?,?,f,f,?
p,x,?,n,w,i,w,?,?,f,f,?
p,f,h,o,w,y,w,u,w,t,g,?
p,x,g,p,p,h,k,?,?,f,f,?
p,o,?,g,f,g,n,?,?,f,f,?
p,s,s,w,w,?,w,?,?,f,f,?
e,x,e,y,w,?,w,?,?,f,f,?
p,x,d,w,p,h,w,?,?,f,f,?
p,x,g,w,w,?,n,?,?,f,f,?
e,x,t,n,y,?,n,?,?,f,f,?
p,x,y,y,y,y,n,?,?,t,?,?
e,x,e,n,w,?,w,?,?,t,?,?
p,b,?,g,g,s,n,?,?,f,f,?
e,f,?,l,u,?,b,?,?,f,f,?
p,x,e,n,o,?,e,?,?,f,f,?
p,c,?,w,w,i,w,?,?,f,f,?
p,f,y,p,w,k,w,?,?,t,e,?
e,x,d,p,e,?,o,?,?,f,f,?
e,x,e,y,w,?,w,?,?,f,f,?
p,f,k,n,y,i,y,?,?,t,?,?
e,x,t,n,y,s,n,?,?,f,f,?
e,f,s,n,g,?,w,?,?,t,r,?
p,b,h,n,n,t,n,?,?,f,f,?
e,x,y,n,w,y,n,?,?,f,f,?
p,f,d,k,y,?,n,?,?,f,f,?
e,s,l,n,f,?,n,?,?,f,f,g
p,p,g,n,w,y,w,u,w,t,p,?
p,p,y,n,w,s,w,?,?,t,z,?
p,x,t,e,w,?,w,?,?,f,f,?
e,x,h,n,y,?,n,?,?,f,f,?
p,b,?,k,n,?,n,?,w,f,f,k
p,f,l,n,y,?,n,?,?,f,f,?
p,x,?,o,o,?,y,?,?,f,f,w
e,f,d,u,p,?,n,?,?,f,f,?
e,f,y,w,w,?,n,?,?,t,m,?
e,x,s,p,e,?,e,?,?,f,f,?
p,x,g,y,y,?,y,?,?,f,f,?
p,b,t,n,k,?,n,?,?,t,f,?
e,x,?,g,g,?,u,?,?,f,f,?
e,s,t,w,y,?,w,?,?,f,f,w
p,x,g,o,w,y,w,u,w,t,g,?
p,f,k,y,n,k,n,?,?,t,f,?
p,f,s,w,w,?,w,?,?,f,f,?
e,x,?,l,r,?,w,?,?,f,f,?
e,x,?,u,w,?,w,?,?,f,f,?
p,p,y,n,p,?,w,?,?,f,f,?
e,f,s,w,p,s,w,?,?,t,e,?
e,x,y,n,p,y,n,?,?,f,f,?
p,b,t,w,w,y,w,u,w,t,e,?
p,x,e,e,n,?,e,?,w,t,z,?
e,f,w,g,k,?,w,?,?,f,f,?
p,f,w,u,g,s,u,?,?,f,f,?
p,s,t,r,n,?,n,?,?,f,f,?
p,x,?,n,n,s,n,?,?,f,f,k
e,f,e,b,b,?,w,?,?,t,f,?
p,x,s,r,r,y,n,?,?,f,f,?
p,b,y,n,p,?,w,?,?,f,f,?
p,b,t,y,k,?,n,?,?,t,f,?
p,b,s,y,r,?,y,u,w,t,z,r
p,x,t,y,y,g,o,?,?,f,f,?
e,x,t,n,y,?,n,?,?,f,f,?
p,o,e,r,y,?,y,?,?,f,f,?
p,f,?,y,n,?,w,?,?,f,f,?
e,p,t,n,w,?,n,?,?,f,f,?
e,x,?,u,w,?,w,?,?,f,f,?
p,x,?,g,y,?,n,?,?,f,f,?
p,b,s,g,k,s,w,?,?,t,z,?
e,x,t,n,y,?,n,?,w,t,p,?
p,f,?,n,y,?,n,?,?,f,f,?
e,s,?,g,g,?,u,?,?,f,f,?
p,x,h,l,g,y,w,?,?,t,e,k
p,o,s,o,f,f,f,?,?,t,f,?
e,f,s,w,w,?,w,?,?,f,f,?
p,x,?,e,w,?,w,?,?,f,f,?
e,x,w,g,k,?,w,?,?,f,f,?
p,x,i,e,e,?,e,?,?,f,f,n
e,x,?,y,y,?,w,?,?,f,f,?
p,x,t,n,w,?,w,?,?,f,f,?
e,o,l,n,f,?,n,?,?,f,f,g
e,f,w,y,f,?,y,?,?,f,f,?
e,x,h,n,y,s,n,?,?,f,f,?
p,x,g,n,w,?,w,?,?,f,f,?
p,o,l,g,f,f,f,?,?,f,f,?
p,f,t,n,p,i,n,?,?,f,f,?
e,o,?,g,f,?,n,?,?,f,f,?
e,c,?,n,f,?,n,?,?,f,f,?
e,f,y,w,p,s,w,?,?,t,e,?
p,p,t,n,n,t,y,?,?,t,e,?
e,x,d,n,y,?,n,?,?,f,f,?
e,x,?,w,r,?,r,?,?,f,f,?
e,s,?,n,w,s,w,?,?,f,f,?
e,f,e,b,b,?,w,?,?,t,f,?
e,x,h,n,y,?,n,?,w,t,p,?
p,b,h,n,n,t,n,?,?,f,f,?
e,f,s,r,n,?,w,?,?,f,f,?
p,x,y,y,w,y,n,?,?,t,r,?
e,x,?,e,w,s,w,?,?,f,f,?
p,x,g,w,w,?,n,?,?,f,f,?
e,x,t,n,y,s,n,?,?,f,f,?
p,f,t,n,p,i,g,?,?,f,f,?
e,s,?,n,w,s,w,?,?,f,f,?
p,f,d,n,y,?,n,?,?,f,f,?
p,x,i,o,k,?,o,?,?,f,f,?
p,x,?,p,w,?,y,?,?,f,f,?
e,x,?,y,o,?,w,?,?,f,f,?
p,f,?,w,w,i,w,?,?,f,f,?
p,f,h,o,w,y,w,u,w,t,g,?
p,f,k,w,p,?,n,?,?,f,f,p
p,x,?,n,k,s,n,?,?,f,f,k
e,x,?,w,w,?,y,u,w,t,g,?
p,x,h,r,u,y,l,?,?,t,e,u
p,x,s,n,g,y,n,?,?,f,f,?
e,x,h,n,n,t,w,?,?,t,l,?
p,x,d,w,p,h,w,?,?,f,f,?
p,s,?,o,o,?,w,?,?,t,f,?
p,b,h,n,n,t,n,?,?,f,f,?
p,f,k,n,n,i,y,?,?,t,?,?
p,s,d,w,w,h,w,?,?,f,f,?
p,b,y,r,g,y,n,?,?,t,e,k
p,s,?,e,w,?,e,?,?,f,f,?
p,x,s,o,y,g,o,?,?,f,f,?
e,b,y,n,n,?,w,?,?,f,f,?
p,s,?,e,w,?,e,?,?,f,f,?
e,x,h,n,k,s,w,?,w,f,f,k
e,x,d,w,w,?,w,?,?,f,f,?
e,f,e,n,w,?,w,?,?,f,f,?
e,f,s,n,w,i,n,?,?,f,f,?
e,p,g,g,g,?,w,?,?,f,f,?
p,o,k,r,o,?,y,?,?,f,f,?
p,b,y,w,p,?,w,?,?,f,f,?
p,o,?,w,f,g,w,?,?,t,f,?
p,b,y,w,k,?,w,?,?,f,f,?
p,x,y,y,w,y,y,?,?,t,r,?
p,o,?,w,f,g,w,?,?,t,f,?
e,o,y,y,y,k,n,?,?,f,f,?
p,x,e,n,y,?,y,?,?,f,f,?
e,o,?,n,w,?,n,?,?,f,f,?
e,b,g,g,g,s,n,?,?,f,f,?
e,x,t,n,y,?,n,?,w,t,p,?
p,s,h,n,w,t,g,?,?,f,f,?
p,x,s,r,w,y,w,?,?,f,f,?
p,x,s,y,f,?,y,?,?,f,f,?
p,x,i,y,k,i,n,?,k,t,z,k
e,f,?,y,w,?,g,?,?,f,f,?
e,x,s,n,n,?,n,?,w,t,p,?
p,x,?,n,w,?,n,?,?,f,f,w
p,f,?,w,w,i,w,?,?,f,f,?
p,x,y,n,w,y,y,?,?,t,r,?
p,s,t,p,p,?,p,?,?,t,f,?
p,x,?,y,y,i,y,?,?,f,f,?
e,s,y,n,p,i,n,?,?,f,f,?
e,b,g,w,g,?,w,?,?,f,f,?
e,p,s,w,n,?,w,?,?,t,l,?
e,x,s,n,w,s,n,?,?,f,f,?
e,x,y,e,w,?,n,?,w,t,e,?
p,b,s,y,k,?,y,u,w,t,z,r
p,s,d,e,w,?,n,?,?,f,f,?
e,f,y,w,w,?,n,?,?,t,m,?
p,b,y,p,n,k,w,?,?,t,e,?
p,x,k,w,w,?,w,?,?,f,f,?
e,c,g,e,p,?,n,?,?,f,f,?
p,x,k,n,p,?,n,?,?,f,f,p
e,x,t,n,w,s,w,u,w,f,f,?
p,f,?,n,w,i,w,?,?,f,f,?
p,f,h,e,w,y,w,u,w,t,p,?
p,s,w,u,g,s,u,?,?,f,f,?
e,f,g,o,n,t,n,?,?,f,f,?
p,x,h,w,p,i,n,?,?,f,f,?
e,f,t,n,y,s,o,?,?,f,f,?
p,x,g,y,n,s,n,?,?,f,f,?
p,x,s,n,w,i,n,?,?,f,f,?
p,f,t,e,w,g,n,?,?,f,f,?
e,f,?,y,w,?,w,?,?,f,f,?
p,x,t,e,w,?,w,?,?,f,f,?
e,x,w,g,g,?,w,?,?,f,f,?
p,x,g,o,y,?,w,?,?,f,f,?
p,b,t,n,g,?,n,?,?,t,f,?
e,s,s,y,n,?,n,?,?,f,f,?
e,f,s,w,w,?,w,?,?,f,f,?
p,f,?,u,n,i,u,?,?,f,f,?
e,o,y,y,y,k,k,?,?,f,f,?
e,o,y,y,y,k,k,?,?,f,f,?
p,o,?,e,f,g,n,?,?,f,f,?
e,x,h,n,w,s,o,?,?,f,f,?
e,f,y,g,g,?,w,?,?,f,f,?
p,x,?,w,w,i,w,?,?,f,f,?
e,x,s,w,w,?,w,?,?,f,f,?
p,x,g,w,w,?,n,?,?,f,f,?
e,x,w,n,y,?,n,?,?,f,f,?
e,f,y,n,p,i,n,?,?,f,f,?
e,f,y,n,w,?,n,?,w,t,e,?
e,x,?,y,w,?,y,u,y,t,g,?
p,s,d,o,y,?,y,?,?,f,f,?
p,x,s,n,w,i,n,?,?,f,f,?
p,x,?,n,n,?,g,?,u,f,f,?
p,o,?,k,f,g,n,?,?,f,f,?
p,f,t,e,w,?,w,?,?,f,f,?
p,x,h,n,n,y,n,?,?,t,z,?
e,c,g,e,w,?,n,?,?,f,f,?
p,x,k,n,n,?,n,?,?,f,f,?
p,b,h,n,n,?,w,?,?,t,?,k
p,x,h,e,w,?,w,?,?,f,f,?
p,x,s,g,w,?,w,?,?,f,f,?
p,f,?,g,w,?,w,u,w,t,e,?
p,f,w,p,p,?,p,?,?,f,f,?
e,x,s,n,w,i,w,?,?,f,f,p
p,x,k,n,y,?,y,?,?,f,f,?
e,f,?,n,w,s,w,?,?,f,f,?
p,b,s,o,g,?,y,?,?,f,f,?
e,s,e,g,w,?,w,?,?,f,f,?
p,o,?,w,f,g,w,?,?,t,f,?
e,x,?,w,w,?,w,?,w,t,?,?
e,x,d,e,n,y,w,?,?,f,f,?
p,f,?,y,y,i,y,?,?,f,f,?
p,x,?,e,w,?,y,?,?,f,f,?
p,f,?,y,w,?,w,?,?,f,f,?
e,x,?,g,w,?,w,?,?,f,f,?
p,o,t,n,w,f,f,?,?,f,f,n
e,c,g,e,p,?,n,?,?,f,f,?
e,x,d,y,y,?,y,?,?,f,f,?
p,x,h,r,w,?,w,u,w,t,p,?
e,x,w,g,k,?,w,?,?,f,f,?
e,x,s,w,w,?,w,?,?,f,f,?
e,x,t,n,n,?,n,?,w,t,p,?
e,p,t,n,w,?,n,?,?,f,f,?
e,f,?,n,w,?,w,u,w,t,g,?
p,f,t,y,y,?,y,?,?,f,f,?
e,x,s,r,n,?,p,?,?,f,f,?
p,b,t,n,g,?,n,?,?,t,f,?
e,x,l,w,p,?,w,?,?,f,f,?
p,x,e,y,o,?,e,?,?,f,f,?
e,s,w,y,f,?,y,?,?,f,f,?
p,x,g,w,w,?,e,?,?,f,f,?
p,x,g,n,y,?,n,?,?,f,f,?
e,f,s,w,w,?,w,?,?,f,f,?
p,x,?,n,p,?,n,?,?,f,f,p
p,x,g,e,n,h,k,?,?,f,f,?
p,x,?,n,w,i,w,?,?,f,f,?
p,x,s,y,y,g,o,?,?,f,f,?
e,f,s,w,w,?,w,?,?,f,f,?
e,x,d,n,e,?,n,?,?,f,f,?
p,x,s,n,w,y,w,?,?,f,f,?
e,p,g,g,g,?,w,?,?,f,f,?
p,p,t,n,g,t,y,?,?,t,e,?
p,s,t,n,n,?,n,?,?,f,f,?
e,f,?,n,u,?,b,?,?,f,f,?
e,s,l,n,f,?,n,?,?,f,f,g
e,x,y,n,w,?,w,?,?,t,?,?
p,x,e,n,e,?,y,?,?,f,f,?
e,x,h,n,y,s,n,?,?,f,f,?
p,f,?,o,o,?,o,?,?,f,f,w
p,b,g,w,n,?,n,?,?,f,f,?
e,x,?,b,u,?,w,?,?,f,f,?
p,f,?,w,p,?,n,?,?,f,f,?
p,s,d,w,w,h,w,?,?,f,f,?
e,x,?,n,w,?,w,u,w,t,g,?
e,x,?,g,g,y,w,?,?,f,f,?
p,x,t,y,y,g,o,?,?,f,f,?
p,f,?,u,w,?,y,?,?,f,f,?
p,o,?,g,f,g,n,?,?,f,f,?
e,x,w,n,y,?,n,?,?,f,f,?
e,f,d,w,w,?,w,?,?,f,f,?
p,f,d,k,y,?,n,?,?,f,f,?
e,x,g,y,w,t,y,?,?,f,f,?
p,o,l,g,f,f,f,?,?,f,f,?
e,x,h,n,w,s,w,u,w,f,f,?
p,x,t,n,g,y,n,?,?,f,f,?
e,s,d,g,p,?,g,?,?,f,f,?
p,f,?,r,y,?,w,?,?,f,f,?
e,f,s,w,w,?,w,?,?,f,f,?
e,p,t,n,y,?,n,?,?,f,f,?
p,f,h,r,w,?,w,u,w,t,g,?
p,o,?,w,f,g,w,?,?,t,f,?
e,o,y,y,y,k,n,?,?,f,f,?
e,x,t,n,y,?,n,?,?,f,f,?
p,x,y,n,n,y,y,?,?,t,?,?
p,b,g,n,n,?,n,?,?,f,f,?
e,x,h,y,y,?,w,?,?,f,f,?
e,x,w,g,k,?,w,?,?,f,f,?
p,x,?,b,w,?,w,?,?,f,f,?
p,o,l,g,f,f,f,?,?,f,f,?
e,f,h,o,y,s,o,?,?,f,f,?
e,f,w,n,g,?,w,?,?,f,f,?
e,c,g,n,w,?,g,?,?,f,f,?
e,x,s,k,w,?,w,?,?,f,f,?
p,f,?,y,y,i,y,?,?,f,f,?
e,p,d,o,n,y,w,?,?,f,f,?
e,p,?,g,w,?,g,?,?,f,f,?
e,b,g,n,g,s,g,?,?,f,f,?
e,f,s,w,w,?,w,?,?,f,f,?
p,x,i,e,e,?,e,?,?,f,f,n
p,b,t,l,u,y,n,?,?,t,e,u
e,x,?,p,w,s,w,?,?,f,f,?
p,f,?,n,y,?,n,?,?,f,f,?
p,f,s,o,y,?,y,?,?,f,f,?
p,x,e,y,e,?,e,?,?,f,f,?
e,x,?,e,w,s,w,?,?,f,f,?
e,p,y,n,w,?,n,?,?,t,m,?
p,f,i,k,p,?,w,?,?,f,f,p
p,x,i,y,o,?,y,?,?,t,r,n
e,f,?,y,w,?,w,?,?,f,f,?
p,x,s,n,g,y,n,?,?,f,f,?
p,f,y,y,y,y,u,?,?,f,f,?
e,x,t,y,w,t,y,?,?,f,f,?
e,x,?,g,g,y,w,?,?,f,f,?
p,x,g,w,w,?,e,?,?,f,f,?
p,x,e,n,n,?,n,?,e,f,f,?
p,o,l,g,f,f,f,?,?,f,f,?
e,p,?,g,w,?,w,?,?,f,f,?
p,x,d,o,y,?,n,?,?,f,f,?
p,x,k,w,p,?,n,?,?,f,f,p
p,o,?,g,f,g,g,?,?,f,f,?
e,x,?,g,g,?,u,?,?,f,f,?
e,f,t,n,o,t,o,?,?,f,f,?
e,x,s,n,w,i,w,?,?,f,f,p
p,x,?,p,w,?,y,?,?,f,f,?
p,p,y,g,w,s,w,?,?,t,z,?
p,b,g,n,n,?,n,?,?,f,f,?
p,s,t,p,p,?,p,?,?,t,f,?
p,f,h,e,w,?,w,?,?,f,f,?
p,f,t,n,p,i,n,?,?,f,f,?
p,b,h,n,k,?,w,?,?,t,?,k
e,x,d,n,n,?,n,?,?,f,f,?
e,s,?,g,g,?,u,?,?,f,f,?
e,f,e,b,b,?,w,?,?,t,f,?
e,f,?,e,w,s,w,?,?,f,f,?
p,x,h,r,w,?,w,u,w,t,p,?
p,f,h,y,y,?,y,?,?,f,f,?
e,x,d,y,r,?,y,?,?,f,f,?
e,s,?,g,b,?,u,?,?,f,f,?
p,s,?,y,o,?,w,?,?,t,f,?
e,x,y,g,w,?,w,?,?,f,f,?
e,x,d,y,y,?,y,?,?,f,f,?
e,x,t,n,y,s,n,?,?,f,f,?
e,x,d,n,w,y,w,?,?,f,f,?
e,s,?,n,g,?,u,?,?,f,f,?
p,b,g,n,n,?,n,?,?,f,f,?
p,b,y,w,n,k,w,?,?,t,e,?
p,x,s,y,y,g,o,?,?,f,f,?
p,b,?,g,n,?,g,?,w,f,f,k
e,x,?,y,n,?,w,?,?,f,f,?
e,p,?,n,f,?,n,?,?,f,f,?
e,f,y,n,w,?,n,?,?,t,m,?
p,f,h,r,w,?,w,u,w,t,p,?
e,f,y,n,w,?,n,?,?,t,m,?
e,s,d,n,p,?,n,?,?,f,f,?
e,x,h,n,y,s,n,?,?,f,f,?
e,x,s,b,w,s,n,?,?,f,f,?
e,x,s,n,n,?,e,?,?,f,f,?
e,x,y,n,w,y,n,?,?,f,f,?
p,s,w,u,u,s,u,?,?,f,f,?
p,s,?,o,o,?,w,?,?,t,f,?
p,x,t,n,n,?,n,?,?,f,f,?
p,b,?,g,k,?,n,?,w,f,f,k
e,x,s,e,e,?,o,?,?,f,f,?
e,s,t,o,o,?,w,?,?,f,f,?
e,f,t,n,o,t,o,?,?,f,f,?
e,s,?,w,p,?,w,?,?,f,f,?
p,x,?,p,r,?,y,?,?,f,f,?
e,x,y,n,p,y,n,?,?,f,f,?
e,p,d,n,n,y,w,?,?,f,f,?
e,c,t,n,w,s,w,u,w,f,f,?
p,x,g,e,w,?,n,?,?,f,f,?
e,x,s,n,p,i,n,?,?,f,f,p
e,x,d,n,y,?,y,?,?,f,f,?
p,x,?,b,w,?,w,?,?,f,f,?
e,x,h,y,y,?,y,?,y,t,?,?
p,x,h,r,w,?,w,u,w,t,p,?
p,f,t,p,r,t,y,?,?,f,f,?
p,x,s,o,y,?,y,?,?,f,f,?
p,s,?,e,w,?,n,?,?,f,f,?
e,f,s,u,w,?,w,?,?,f,f,?
e,x,?,n,n,?,n,?,w,t,?,?
p,x,g,n,w,y,w,u,w,t,p,?
p,x,h,g,p,i,n,?,?,f,f,?
e,p,y,w,w,?,n,?,?,t,m,?
e,x,t,n,n,t,w,?,?,t,l,?
p,f,l,e,e,?,y,?,?,f,f,?
p,s,h,r,g,t,n,?,?,f,f,?
