@RELATION dataset

@ATTRIBUTE class {p, e}
@ATTRIBUTE cap-diameter REAL
@ATTRIBUTE cap-color {w, n, o, e, y, p, r, k, g, u, l, b}
@ATTRIBUTE stem-height REAL
@ATTRIBUTE stem-width REAL
@ATTRIBUTE stem-color {w, e, n, y, g, r, o, k, p, u, f, l, b}
@ATTRIBUTE ring-type {l, f, p, g, e, ?, r, m, z}
@ATTRIBUTE habitat {d, l, g, h, m, w, u, p}

@DATA
p,11.0,n,11.87,16.21,n,f,h
e,5.84,e,8.61,13.26,n,?,d
e,1.69,y,7.25,2.21,y,f,g
p,1.35,n,4.66,2.53,n,f,g
e,4.63,n,6.12,7.97,o,f,d
p,9.71,r,11.19,16.64,w,g,d
e,8.93,n,7.26,18.15,n,p,d
e,7.12,o,9.09,12.57,n,f,d
e,7.89,w,6.94,28.71,w,f,d
p,2.29,o,2.9,5.05,o,f,h
e,5.32,n,8.42,6.41,n,f,d
e,7.03,y,6.67,13.01,y,g,d
p,4.68,w,5.95,30.63,w,f,p
p,1.12,w,2.92,1.5,e,f,l
p,3.52,y,5.08,5.94,r,f,d
p,5.12,l,6.58,7.93,l,e,g
p,8.7,r,10.79,14.25,w,g,d
e,17.87,w,27.21,22.32,n,m,m
p,4.14,o,1.39,14.62,y,f,d
e,9.05,n,5.83,9.5,n,f,d
e,11.66,y,7.46,23.43,w,f,d
p,5.81,y,7.73,10.03,w,f,d
p,9.78,n,10.12,13.99,n,f,d
p,3.97,y,7.99,7.55,y,z,d
e,8.3,w,5.22,24.11,w,f,d
e,0.91,n,5.58,0.95,n,f,h
p,12.38,n,8.63,17.18,n,f,d
p,1.78,n,4.95,1.72,n,f,g
p,2.88,l,5.25,6.03,n,e,g
e,15.14,n,11.1,18.05,w,?,d
p,11.9,n,10.86,15.9,w,e,d
p,9.01,o,10.16,19.98,o,r,d
p,4.11,e,4.32,4.81,e,f,d
p,7.82,n,6.3,8.82,n,f,d
e,4.61,n,6.03,3.69,w,f,d
e,6.93,n,9.14,16.09,w,g,d
p,9.61,e,8.14,21.12,y,f,d
e,7.37,n,8.88,11.84,o,f,d
e,8.99,g,2.6,16.21,w,f,d
p,7.62,n,9.58,26.39,w,f,d
e,5.62,n,5.19,5.34,n,r,d
p,5.88,e,8.48,10.21,y,z,d
e,10.34,n,8.98,17.16,w,p,d
e,3.61,y,5.19,10.38,w,f,d
e,8.73,l,7.02,18.33,w,f,d
e,4.71,o,6.76,13.24,e,f,d
e,19.05,w,25.97,19.57,n,m,d
e,9.86,u,7.53,21.82,u,f,d
p,4.82,n,0.0,0.0,f,f,d
p,11.01,p,8.6,17.88,p,f,d
p,5.82,w,3.36,12.85,y,f,d
p,6.91,y,3.96,10.97,w,f,d
e,6.37,n,3.86,11.3,w,l,w
e,9.72,n,8.71,12.73,n,?,d
p,5.96,w,7.75,12.79,w,f,d
e,4.34,y,7.46,9.32,y,f,d
p,16.14,r,4.93,24.95,r,f,d
e,10.82,y,6.29,21.95,p,f,d
p,0.69,e,3.25,0.85,k,f,d
p,7.44,n,5.56,15.72,y,f,d
e,12.0,o,6.08,17.31,w,f,d
p,3.0,w,3.64,2.42,w,f,g
p,7.55,w,6.75,11.86,w,l,g
p,1.03,w,3.34,1.88,e,f,d
p,23.1,k,6.0,47.18,n,f,d
p,2.64,g,2.56,6.63,w,f,g
p,11.19,n,12.42,32.92,n,f,d
p,9.0,w,16.34,17.91,w,f,d
e,4.21,o,6.79,5.02,n,f,d
e,1.56,n,5.2,2.63,w,f,d
e,8.42,g,8.1,20.41,b,f,d
p,7.7,n,8.22,16.29,w,p,d
e,2.72,e,4.37,6.54,e,f,m
p,4.35,n,5.33,6.61,n,z,d
p,8.16,w,8.56,16.83,w,l,d
p,1.27,y,2.73,4.79,y,f,d
p,6.22,e,8.44,10.15,e,z,d
p,9.12,n,13.12,33.36,n,f,d
p,3.59,n,0.0,0.0,f,f,d
p,12.19,n,5.17,24.36,k,f,d
p,8.61,e,5.42,17.82,w,f,d
p,3.49,g,0.0,0.0,f,f,d
p,8.55,n,14.53,17.97,w,f,d
p,8.26,e,6.56,17.32,w,f,d
p,3.65,y,4.73,3.47,n,r,g
p,3.41,n,10.91,2.75,g,f,g
p,2.8,n,5.48,8.63,w,z,d
p,2.84,w,3.5,2.39,w,f,g
e,3.27,n,4.35,9.43,y,f,d
e,6.52,w,6.1,12.95,w,e,g
e,10.13,n,9.8,17.68,w,g,d
e,4.67,o,5.38,10.97,e,f,d
e,6.83,n,6.38,19.73,u,f,d
e,8.43,l,6.04,18.54,b,f,d
p,4.83,w,0.0,0.0,f,f,d
e,4.1,w,7.46,7.94,w,?,d
e,4.33,r,5.44,6.95,l,f,d
p,6.71,n,5.43,9.93,n,f,d
e,8.69,n,8.13,14.56,w,f,g
p,3.48,b,4.71,3.44,n,f,d
p,6.51,w,13.94,17.32,w,f,d
p,1.79,g,4.79,1.88,n,f,d
e,6.67,y,7.21,15.06,w,f,d
p,6.28,y,4.02,7.02,o,f,d
e,3.25,y,4.03,7.62,w,f,d
p,15.17,n,9.15,27.52,y,f,d
e,7.19,o,6.06,13.31,w,f,g
p,1.22,n,4.24,1.31,n,f,d
e,7.02,n,6.79,5.82,g,l,d
p,13.31,n,7.96,17.9,n,f,d
e,14.57,w,11.32,16.61,w,r,m
e,4.09,n,12.49,12.01,w,f,d
e,3.29,g,3.98,2.57,g,f,d
p,5.36,n,0.0,0.0,f,f,d
p,4.55,w,5.64,29.38,w,f,p
p,4.2,n,6.43,4.05,n,f,m
p,1.48,n,4.83,2.63,n,f,g
e,8.29,g,12.89,26.39,w,f,d
e,10.7,n,9.71,17.98,w,p,d
e,8.26,n,5.72,11.93,n,f,h
p,8.86,p,7.78,13.03,p,f,d
e,16.01,o,17.59,38.02,w,f,d
p,2.56,w,3.32,2.32,w,f,g
p,4.07,n,6.66,4.54,w,f,d
e,5.39,b,6.08,8.94,n,f,l
p,10.5,n,1.92,17.09,n,f,d
p,2.0,l,5.17,2.73,w,f,g
p,3.02,w,3.92,2.64,w,f,g
e,5.74,k,4.91,10.05,g,f,d
e,4.61,n,5.06,5.67,o,f,d
e,19.67,w,9.4,25.8,w,f,d
e,0.83,w,2.42,1.26,w,f,d
p,6.29,n,6.37,13.51,w,p,d
e,3.78,w,4.54,2.96,y,f,g
e,8.93,u,4.22,14.58,w,f,d
e,9.22,b,4.89,20.48,w,f,d
e,49.32,y,7.88,36.43,n,f,d
e,10.63,n,8.7,20.99,n,f,d
e,5.35,n,4.13,6.94,w,f,d
p,15.78,n,9.41,31.76,y,f,d
p,7.24,g,10.03,12.36,w,z,g
e,3.58,e,4.18,6.42,o,f,g
p,21.66,w,7.43,30.42,w,f,d
p,6.57,y,6.12,14.83,y,f,d
e,12.43,w,6.45,26.64,w,f,d
p,2.92,g,0.0,0.0,f,f,d
p,7.88,w,8.55,16.55,w,l,d
e,4.33,n,5.95,11.0,e,f,d
e,8.94,e,5.84,24.69,n,e,d
p,2.59,g,3.24,15.78,n,f,d
p,5.81,y,5.41,12.43,y,f,d
p,2.81,w,3.15,3.57,w,f,d
p,8.45,p,4.92,11.42,p,f,d
e,48.62,y,7.1,37.52,k,f,d
e,7.94,y,8.32,17.02,w,f,d
e,4.83,o,4.42,10.57,n,f,d
p,0.9,w,2.96,1.39,e,f,l
p,7.52,n,6.15,10.07,e,f,d
p,2.31,n,7.18,2.53,y,e,m
p,8.46,r,10.54,13.25,w,p,d
p,3.15,w,2.79,2.38,w,f,g
p,0.7,o,4.68,0.93,o,f,g
e,8.81,g,8.47,14.63,g,f,g
e,4.38,n,5.35,10.26,n,f,d
p,5.0,e,5.72,5.68,n,f,d
e,10.97,b,5.2,19.57,w,f,d
e,7.08,k,5.16,10.0,g,f,d
p,4.17,n,5.96,4.78,g,f,g
p,2.44,n,4.58,3.38,y,r,g
p,4.06,n,5.98,4.57,w,f,d
e,1.68,y,6.74,2.31,y,f,h
e,8.19,n,6.71,12.79,e,f,d
e,5.47,n,3.54,11.59,w,r,w
p,6.85,y,5.66,10.47,w,f,d
p,0.88,e,4.37,1.09,k,f,d
e,4.2,e,5.48,7.17,e,f,m
p,13.79,n,11.83,37.17,n,f,d
e,17.24,n,15.31,64.39,n,f,d
e,11.5,y,9.23,13.5,n,?,d
p,8.97,g,4.76,13.82,r,f,d
e,6.54,g,5.41,17.6,u,f,g
e,3.24,w,4.57,2.85,y,f,g
e,19.51,w,7.48,23.26,w,f,d
e,49.66,y,7.44,33.13,n,f,d
e,7.5,y,5.85,12.26,e,f,d
p,1.27,n,4.76,2.44,n,f,g
e,7.22,n,6.14,15.97,w,f,d
e,2.47,o,3.72,6.32,e,f,g
e,8.17,y,7.42,14.38,y,?,d
e,5.58,y,4.64,10.39,w,f,d
e,19.59,w,11.87,18.82,w,r,m
p,1.5,n,4.82,2.42,n,f,g
p,10.33,p,8.49,15.93,p,f,d
p,4.94,w,5.76,11.94,w,f,g
p,0.85,y,4.05,2.79,n,f,m
e,4.04,n,4.94,10.95,n,f,d
e,10.08,w,15.29,12.47,w,e,d
e,12.56,w,13.16,18.79,w,l,m
p,5.17,n,9.76,12.46,w,z,g
e,3.44,n,6.75,3.11,w,f,d
p,1.43,n,3.5,1.54,n,f,d
e,7.34,n,5.73,9.09,n,f,d
p,0.89,n,3.06,2.29,n,f,m
p,2.01,n,6.24,2.78,n,f,m
e,15.53,g,2.81,17.22,w,f,d
p,5.07,y,5.04,12.63,y,f,d
p,3.56,y,6.01,3.56,y,r,g
p,9.23,n,11.76,14.16,n,f,h
p,6.82,w,7.38,13.97,w,l,d
e,3.25,w,3.74,2.53,y,f,g
p,6.2,y,7.23,7.43,n,z,d
p,0.83,o,4.92,1.12,o,f,g
p,2.6,w,8.61,3.91,n,f,l
e,5.29,n,6.52,9.15,n,f,l
e,9.82,p,5.03,16.79,w,f,d
p,3.12,w,4.6,3.91,w,f,p
p,0.86,o,4.7,0.99,o,f,g
e,11.94,g,7.43,24.11,w,f,d
p,2.59,w,4.96,24.28,w,f,d
p,7.18,p,5.1,10.49,p,f,d
e,10.73,g,7.76,21.38,b,f,l
p,9.42,p,9.23,16.82,p,f,d
e,10.78,y,7.05,25.65,n,e,d
p,4.18,n,5.51,4.16,g,f,d
e,13.67,n,9.87,16.61,w,l,m
e,5.04,g,4.31,9.44,g,f,d
e,7.4,e,5.69,12.28,e,f,d
p,5.11,w,5.87,11.94,w,f,d
p,0.73,n,4.24,1.05,k,f,d
p,4.31,e,5.34,6.67,w,f,d
p,8.8,n,9.13,31.56,w,f,d
p,1.67,n,5.04,2.53,n,f,g
e,4.77,n,5.95,13.49,n,f,d
p,2.86,w,2.68,7.06,w,f,g
e,4.11,w,4.64,3.52,y,f,g
e,4.98,n,6.09,35.66,n,f,d
e,6.4,n,13.14,13.24,n,f,d
e,2.78,n,5.32,2.35,w,f,d
e,9.14,n,5.79,9.02,n,f,m
p,2.12,o,5.53,3.12,n,f,d
p,8.92,n,3.43,25.94,n,f,d
e,3.51,p,4.01,6.25,e,f,m
e,6.55,g,6.98,6.49,w,l,d
p,2.54,w,2.78,2.25,w,f,g
p,0.99,w,3.32,1.6,n,f,l
e,1.09,w,2.43,1.31,w,f,d
e,5.06,y,6.87,4.44,w,f,d
p,10.7,p,8.7,18.34,p,f,d
p,13.33,y,8.65,17.65,n,f,d
e,11.1,n,8.7,22.4,n,f,d
e,7.36,n,8.03,12.4,n,f,g
e,6.42,w,4.64,12.27,w,e,m
p,0.66,n,3.62,0.98,k,f,d
p,4.22,e,5.81,4.45,n,f,l
e,4.51,b,6.8,10.42,n,f,l
e,19.3,w,28.18,20.98,n,m,d
p,4.15,g,0.0,0.0,f,f,d
e,7.96,n,7.03,9.78,w,f,d
e,7.77,e,8.77,21.01,w,f,d
p,2.81,w,3.25,2.22,w,f,g
e,8.32,w,6.71,30.44,w,f,d
e,9.82,n,8.11,19.59,u,f,g
p,12.63,n,8.33,28.1,y,f,d
e,7.13,e,7.73,20.74,w,f,d
p,1.45,n,4.09,1.6,n,f,d
p,15.35,n,6.33,35.54,k,f,d
e,9.49,n,8.52,17.99,w,p,d
e,14.44,n,23.73,18.9,n,m,m
e,4.19,n,4.54,4.79,n,r,d
p,15.29,r,5.07,26.73,n,f,l
e,8.27,n,7.7,21.0,n,f,d
e,4.05,n,6.62,7.87,w,f,d
p,18.42,n,5.96,35.11,k,f,d
p,7.31,n,5.51,7.26,n,f,d
p,0.67,o,4.45,0.88,o,f,g
e,7.3,w,3.55,9.29,w,f,d
p,15.02,w,7.68,30.27,w,f,d
p,3.2,n,4.03,2.51,n,f,g
p,4.7,n,5.55,5.95,e,f,d
e,3.41,o,4.2,6.48,o,f,g
p,3.11,w,3.15,2.3,w,f,g
p,6.56,y,8.9,10.1,y,?,d
p,4.4,n,3.92,5.45,n,f,d
p,2.88,n,2.85,6.34,n,f,d
p,5.66,y,5.73,9.79,w,f,d
p,3.11,g,8.0,2.46,n,f,g
e,6.82,n,5.86,4.96,g,l,d
e,5.33,n,4.79,9.09,n,f,d
e,17.91,n,26.44,22.18,n,m,m
p,11.77,n,10.96,35.15,w,f,d
e,4.11,l,5.37,7.18,r,f,d
p,4.2,y,5.63,6.69,w,f,d
e,9.1,g,12.88,25.21,w,f,d
p,5.24,k,5.95,6.63,y,f,g
e,7.64,n,9.47,10.71,n,f,d
e,2.63,u,6.12,4.96,w,f,d
p,3.28,r,6.08,6.62,n,e,m
e,5.68,g,4.3,7.13,w,f,d
e,3.96,w,7.74,8.19,w,?,d
p,5.28,o,5.11,6.44,n,z,d
p,4.22,w,5.3,27.34,w,f,p
p,4.15,u,4.66,7.94,y,f,d
e,19.57,k,8.03,25.43,w,f,d
e,6.2,n,8.12,57.8,n,f,l
p,4.45,y,5.29,4.8,y,f,d
p,9.0,u,8.63,20.05,u,f,d
p,6.16,p,4.41,9.75,p,f,d
p,8.92,e,3.37,24.1,n,f,d
p,3.88,n,9.44,5.86,w,?,g
p,9.12,n,6.15,14.63,n,f,d
p,11.83,n,9.34,27.75,y,f,d
p,6.51,g,10.12,12.15,w,z,g
e,1.7,n,4.95,1.44,g,f,l
p,1.91,n,7.42,2.83,y,f,g
p,6.27,y,5.07,15.58,y,f,d
e,8.04,p,5.08,15.38,w,f,d
e,5.5,o,5.63,10.92,w,f,d
e,4.03,w,6.77,3.8,w,f,d
e,5.19,o,5.99,12.1,e,f,d
p,0.74,e,3.98,1.06,k,f,d
p,2.8,g,3.56,15.32,n,f,d
p,1.52,o,4.63,2.7,n,f,g
p,11.14,n,6.63,15.05,n,f,h
e,8.95,w,6.82,29.09,w,f,m
e,3.32,n,5.09,2.85,y,f,g
p,8.77,n,4.66,14.21,n,f,d
p,1.27,y,3.53,5.37,y,f,d
p,6.82,n,6.12,6.21,n,?,d
p,4.78,e,6.77,5.68,y,f,d
p,7.86,n,9.58,20.38,n,f,d
e,1.16,n,5.78,1.02,n,f,h
e,10.07,l,8.05,17.26,w,f,d
p,5.74,w,3.36,12.65,y,f,d
p,4.24,n,6.14,5.04,n,f,l
e,9.92,n,7.14,10.16,n,f,d
p,1.31,n,4.43,2.32,n,f,g
p,2.44,g,5.59,2.25,g,f,d
e,3.76,g,4.81,5.98,g,f,d
p,11.19,r,11.67,16.52,w,p,d
p,6.2,n,9.78,9.69,y,?,d
p,3.53,k,3.94,16.04,g,f,d
e,4.64,y,4.1,9.29,w,f,d
e,6.05,g,5.0,10.68,g,f,d
p,6.33,e,8.27,9.76,e,z,d
e,21.29,n,21.13,82.82,n,f,d
e,3.04,n,4.62,6.15,w,f,d
p,12.0,n,8.87,25.13,y,f,d
p,7.77,n,2.4,22.62,n,f,d
p,4.39,n,6.01,4.88,n,f,g
e,5.13,n,8.74,12.14,w,?,g
e,4.1,y,4.62,9.22,w,f,d
p,6.63,e,5.0,8.91,n,f,d
e,6.26,b,7.49,10.74,n,f,l
p,7.94,r,7.36,12.45,w,f,d
e,7.9,g,11.39,24.82,w,f,d
e,2.32,n,6.61,3.68,n,f,h
p,2.83,g,2.92,7.47,w,f,g
p,8.62,n,9.85,16.18,n,f,d
p,5.68,e,14.08,6.31,n,f,d
e,10.01,n,7.18,10.1,w,f,d
e,20.16,n,7.96,27.95,w,f,d
e,5.37,b,6.37,8.99,n,f,l
p,3.42,u,3.73,3.78,u,f,p
p,10.04,n,6.58,15.01,n,f,d
p,1.97,n,5.91,3.25,n,f,d
p,3.34,n,8.76,4.05,n,f,d
p,5.99,w,6.95,12.69,w,l,d
e,12.36,e,9.82,15.5,n,?,d
p,3.47,r,0.0,0.0,f,f,d
e,9.84,w,5.88,24.93,w,f,d
e,21.77,e,18.14,37.09,w,f,d
e,4.2,w,3.85,6.75,w,f,m
p,3.47,n,5.91,8.45,w,z,d
e,5.01,o,6.16,5.65,o,f,d
p,11.08,n,12.17,34.97,n,f,d
p,1.5,k,3.42,2.53,w,f,g
e,7.7,n,5.13,10.06,n,f,d
e,20.34,o,15.62,34.13,w,f,d
p,6.76,w,12.59,12.37,w,l,d
p,0.73,n,3.79,0.98,k,f,d
p,6.96,w,8.6,13.42,w,l,g
p,4.62,p,5.28,6.83,w,f,d
p,5.42,e,6.23,6.31,e,f,d
e,3.1,n,4.22,9.95,y,f,d
p,1.14,y,4.18,2.81,n,f,m
e,2.63,o,5.72,5.14,n,f,d
p,4.26,y,4.47,6.59,w,f,d
e,10.55,n,11.91,17.52,w,r,m
p,1.57,n,6.54,2.64,y,f,g
p,3.6,n,5.23,2.76,n,f,l
p,17.88,w,7.33,31.29,w,f,d
p,8.61,e,14.49,7.38,n,f,d
e,3.37,g,4.53,6.12,g,f,d
e,9.46,b,6.67,12.95,w,f,d
e,14.05,n,9.36,17.04,w,?,d
e,18.02,g,9.51,26.91,w,f,l
e,8.7,w,16.89,11.3,w,e,u
e,9.41,n,8.23,18.83,n,p,d
p,14.05,e,17.88,17.45,w,p,d
e,3.81,y,4.4,8.89,w,f,d
p,3.4,n,5.0,3.56,y,r,g
p,1.47,n,2.41,2.76,n,f,h
p,3.77,n,6.77,3.95,g,f,m
p,6.71,n,7.09,14.96,w,p,d
e,8.17,n,6.27,10.0,n,f,l
e,20.02,w,6.96,22.8,w,f,d
e,6.35,e,7.54,17.17,w,f,d
e,4.69,n,5.48,12.89,e,f,d
e,2.97,l,5.98,7.2,w,f,d
e,9.23,g,6.74,14.44,g,f,g
e,6.68,y,6.43,13.16,w,f,d
p,5.54,y,6.35,16.16,y,f,d
p,3.74,b,4.98,2.9,n,f,d
p,3.47,n,3.93,3.33,w,e,m
e,6.96,n,6.37,10.48,n,f,d
p,1.3,n,3.62,1.44,n,f,d
p,1.85,l,3.78,2.41,w,f,g
p,8.08,n,14.86,17.3,w,f,d
e,6.71,n,5.88,10.61,n,f,g
p,10.19,n,11.45,26.78,w,f,d
e,8.1,n,6.26,19.05,u,f,d
p,1.95,k,3.82,2.41,w,f,g
e,5.01,n,4.03,5.07,n,r,d
p,9.01,w,13.53,12.38,w,e,d
p,3.67,o,3.23,6.07,n,f,d
p,5.59,n,5.64,6.18,n,?,d
p,10.54,u,9.27,19.85,g,f,d
p,2.68,w,4.65,4.01,u,f,p
p,7.79,p,4.89,9.97,p,f,d
p,9.89,n,6.14,16.34,n,f,d
e,9.57,n,10.7,16.73,w,g,d
p,4.33,y,5.65,7.38,o,f,g
p,6.99,w,11.47,12.35,w,e,d
p,3.17,o,3.51,6.0,n,f,d
p,1.26,n,3.96,1.46,n,f,d
p,13.7,e,17.84,17.91,w,g,d
e,3.56,g,5.22,3.21,g,f,d
e,12.51,n,8.81,22.06,u,f,l
p,2.57,o,2.92,5.33,y,f,m
p,0.82,n,3.04,2.18,n,f,m
p,15.02,o,16.62,16.6,w,g,d
e,6.53,n,5.03,9.76,n,f,d
p,1.58,n,3.31,1.47,n,f,d
p,21.68,o,5.8,36.51,n,f,d
p,3.74,w,7.52,3.57,p,f,l
p,6.89,w,8.93,15.67,w,l,g
p,6.15,n,11.86,14.03,w,z,g
p,2.16,n,6.39,2.31,y,e,m
e,3.0,y,4.01,8.65,w,f,d
p,4.44,o,5.77,7.03,o,f,g
p,4.5,k,5.58,6.28,o,f,m
p,3.72,u,3.98,6.39,w,f,d
p,1.76,y,6.48,2.44,y,f,g
e,9.83,n,5.11,25.43,n,f,d
e,8.09,n,6.68,10.16,n,f,m
e,6.46,b,7.91,11.93,n,f,l
p,4.91,y,6.12,5.59,n,f,l
p,1.14,y,3.42,5.37,y,f,d
p,2.48,n,5.93,2.45,n,f,d
e,4.78,g,4.99,17.85,n,f,l
e,7.61,w,3.34,7.87,w,f,g
e,14.82,n,10.03,17.8,w,?,d
e,6.9,e,5.49,12.01,e,f,d
e,5.55,n,4.22,5.59,n,r,d
e,2.87,p,3.84,4.42,n,f,d
p,1.15,w,3.59,1.71,e,f,d
e,5.35,n,5.16,5.91,n,r,d
e,4.66,w,6.19,3.36,w,f,d
e,3.58,n,5.27,6.21,w,f,d
e,11.3,w,9.48,16.5,w,l,m
p,8.89,n,10.36,33.39,w,f,d
e,8.44,o,4.98,15.73,w,f,d
e,5.82,g,5.49,20.41,n,f,d
e,9.36,w,6.95,30.68,w,f,d
p,3.14,e,4.71,6.23,e,f,d
p,3.72,n,6.47,5.22,g,f,d
e,4.7,n,8.2,9.89,n,?,d
p,4.68,y,9.66,8.5,y,z,d
p,13.04,k,4.69,21.72,g,f,g
e,10.31,n,7.08,21.84,n,f,d
p,2.94,g,8.76,2.44,g,f,g
e,11.38,e,9.55,15.76,n,?,d
p,3.48,g,3.78,16.05,n,f,d
p,2.53,w,3.84,2.17,n,f,g
e,4.53,n,5.52,12.86,n,f,d
e,10.82,u,6.86,25.48,w,f,d
e,4.66,n,5.12,10.99,e,f,d
p,3.68,b,3.82,2.44,n,f,d
e,1.73,y,7.46,2.37,y,f,g
p,8.26,y,8.22,8.55,n,z,d
p,2.92,g,0.0,0.0,f,f,d
p,5.17,p,3.51,12.0,y,f,d
p,8.78,w,8.14,14.07,w,l,g
p,0.85,e,3.85,1.08,k,f,d
p,5.37,y,6.22,15.75,y,f,d
e,8.56,o,9.33,12.51,n,f,d
p,1.33,n,3.76,1.26,n,f,d
p,12.02,n,8.53,27.77,u,f,d
p,5.28,r,0.0,0.0,f,f,d
p,3.05,b,4.87,6.42,w,f,d
p,3.35,u,5.29,5.08,u,f,d
e,7.47,g,7.35,13.71,g,f,d
e,20.41,e,15.63,36.25,w,f,d
e,14.27,w,28.21,20.72,n,m,d
p,5.43,e,8.27,10.3,y,z,d
p,8.13,y,9.73,10.02,y,?,d
e,4.95,n,6.44,4.09,w,f,d
p,4.07,o,5.49,7.37,o,f,g
p,1.36,n,4.49,2.22,n,f,g
p,6.93,n,6.11,10.23,n,f,d
p,1.49,n,3.36,1.45,n,f,d
e,2.9,y,5.47,11.84,y,?,d
p,6.15,n,5.61,9.7,n,f,d
e,14.65,n,14.45,33.84,w,f,d
p,5.1,n,8.89,13.21,w,z,d
p,7.62,w,11.82,11.73,w,e,d
p,5.14,e,3.65,11.99,y,f,d
p,7.83,w,13.2,13.26,w,e,d
p,1.01,w,3.23,1.92,e,f,l
e,6.54,k,4.53,15.69,w,f,d
p,1.9,l,4.4,2.43,w,f,g
p,4.43,e,6.52,7.44,n,f,d
p,5.02,w,6.25,39.06,w,f,d
e,6.38,y,5.09,14.44,w,f,d
e,3.92,g,5.53,3.95,g,f,d
p,1.87,y,8.17,3.06,y,f,g
p,7.07,e,7.74,10.31,n,f,d
e,8.36,u,7.77,19.96,b,f,l
p,7.28,e,8.33,9.11,e,z,d
p,8.2,e,6.27,8.4,e,f,d
p,7.77,r,7.35,13.1,w,f,d
p,4.78,n,3.9,5.35,n,f,d
p,11.44,y,5.72,13.49,w,f,d
p,5.08,o,7.99,7.6,y,f,g
p,3.43,g,3.12,12.75,n,f,d
p,4.95,y,6.01,14.6,y,f,d
p,3.22,g,9.23,2.33,n,f,g
p,7.51,n,4.44,11.21,g,f,d
e,8.62,u,6.66,20.15,u,f,l
e,9.48,o,6.48,13.55,w,f,m
e,3.63,n,4.1,9.13,n,f,d
p,3.31,n,4.2,6.04,o,z,d
p,6.63,r,4.46,12.86,g,f,d
e,8.29,g,11.7,26.91,w,f,d
e,4.35,n,6.48,4.14,w,f,d
e,5.78,n,12.02,13.11,w,f,d
p,9.9,n,8.94,19.98,u,f,d
e,3.44,n,5.28,5.72,w,f,d
e,3.99,n,7.38,7.29,n,?,d
e,5.49,n,8.81,15.5,w,g,d
p,3.33,n,4.24,3.03,n,f,l
p,1.38,n,3.64,1.44,n,f,g
p,1.11,n,3.39,1.23,n,f,d
e,21.61,e,18.29,37.71,w,f,d
e,3.9,n,7.45,5.64,n,f,d
p,2.94,n,9.69,5.55,w,?,g
e,4.21,w,5.17,10.72,y,g,d
p,4.71,l,6.9,8.51,n,e,m
p,7.69,n,3.06,22.94,n,f,d
p,4.85,y,6.26,8.74,o,f,g
e,8.54,y,6.89,14.64,w,f,d
e,9.05,y,6.74,20.13,w,f,d
p,0.83,w,3.38,1.39,e,f,l
e,4.48,w,7.03,4.26,w,f,d
e,4.7,g,4.93,8.71,w,f,d
e,7.27,y,5.81,13.76,g,f,d
e,4.19,n,6.67,52.3,n,f,d
e,5.17,y,4.03,12.22,y,f,d
e,14.28,g,2.54,14.08,w,f,d
e,7.08,n,13.71,13.87,w,f,d
p,1.86,n,2.61,2.54,n,f,h
e,1.01,w,2.95,1.51,w,f,d
e,10.05,n,6.48,11.36,n,f,d
p,12.65,e,4.22,25.96,n,f,d
p,5.9,w,0.0,0.0,f,f,d
p,3.85,b,5.48,3.92,n,f,l
p,9.05,p,3.75,9.29,p,f,d
p,17.33,n,6.82,35.02,k,f,d
p,4.6,y,0.0,0.0,f,f,d
e,9.44,w,15.88,12.55,w,e,u
e,5.38,o,6.17,12.75,w,f,g
e,13.62,n,12.76,17.85,w,l,m
p,0.76,n,2.9,2.53,n,f,g
p,1.04,w,3.1,1.67,n,f,d
p,3.11,u,4.14,7.27,y,f,d
e,7.58,p,7.28,18.37,w,f,d
p,6.72,y,5.21,15.39,y,f,d
p,6.23,n,9.9,12.55,w,z,g
p,5.23,e,7.95,10.12,e,z,d
e,9.36,n,6.17,9.68,n,f,d
p,2.99,n,10.69,2.56,n,f,g
e,7.27,n,5.01,24.22,n,f,d
e,1.64,y,7.05,2.7,y,f,d
p,3.95,n,0.0,0.0,f,f,d
e,1.19,e,6.21,1.11,n,f,d
e,8.21,o,10.49,13.12,n,f,d
p,4.19,y,6.78,7.83,w,f,d
e,9.12,w,20.58,11.56,w,e,d
p,3.8,r,5.43,6.25,l,e,d
p,3.21,u,4.91,4.09,u,f,l
p,3.12,g,0.0,0.0,f,f,d
e,9.76,n,3.83,23.31,n,f,d
p,3.98,o,5.97,7.22,o,f,g
p,5.56,n,9.35,11.39,w,z,d
p,3.39,n,4.94,7.83,w,z,d
e,5.23,w,5.31,12.46,w,e,g
p,11.9,g,7.19,18.06,n,f,d
e,6.23,o,5.16,13.27,w,f,g
p,4.07,u,5.64,5.62,u,f,l
e,5.57,o,5.79,12.82,w,f,g
e,6.85,n,5.86,14.65,w,f,d
p,12.82,n,11.11,14.53,w,e,d
e,8.1,n,5.39,9.58,w,f,d
p,3.03,n,2.74,5.84,n,f,d
e,1.36,g,4.91,2.44,w,f,d
e,3.37,n,6.17,6.18,o,f,d
e,10.34,n,8.16,22.24,n,f,d
e,10.03,n,7.07,18.34,u,f,l
p,2.17,y,9.15,3.11,y,f,g
p,8.12,n,8.6,17.14,w,p,d
p,6.06,n,4.8,10.39,n,f,d
p,3.34,p,4.77,5.21,r,f,d
e,6.57,k,5.0,10.02,g,f,d
p,21.54,n,6.62,34.35,n,f,d
p,2.35,y,8.51,3.13,y,f,g
