@RELATION dataset

@ATTRIBUTE class {p, e}
@ATTRIBUTE cap-diameter REAL
@ATTRIBUTE cap-shape {b, x, s, f, o, c, p}
@ATTRIBUTE cap-surface {t, g, d, y, ?, s, h, l, w, i, k, e}
@ATTRIBUTE cap-color {w, n, o, e, y, p, r, k, g, u, l, b}
@ATTRIBUTE gill-attachment {e, a, d, x, s, ?, p, f}
@ATTRIBUTE gill-color {w, y, p, g, r, e, f, n, o, u, k, b}
@ATTRIBUTE stem-height REAL
@ATTRIBUTE stem-width REAL
@ATTRIBUTE stem-color {w, e, n, y, g, r, o, k, p, u, f, l, b}
@ATTRIBUTE ring-type {l, f, p, g, e, ?, r, m, z}
@ATTRIBUTE habitat {d, l, g, h, m, w, u, p}

@DATA
e,6.49,x,t,y,x,y,7.09,15.38,w,f,d
p,7.47,f,t,e,x,w,13.69,8.05,n,f,d
e,1.52,x,w,g,?,k,4.79,2.51,w,f,g
p,9.63,x,e,n,a,n,12.66,16.23,n,f,h
e,1.36,p,g,w,?,g,3.07,1.5,w,f,d
e,6.58,x,h,n,x,n,6.56,6.6,n,r,d
p,7.54,p,g,n,e,w,7.96,13.51,w,p,d
p,0.78,x,g,e,a,n,4.18,1.08,k,f,d
e,8.46,x,t,n,p,y,7.9,13.31,n,f,g
p,7.34,s,d,e,d,w,5.71,9.47,e,f,d
e,3.57,x,?,n,x,n,8.03,9.45,n,?,g
e,19.83,x,d,e,p,n,14.77,34.36,w,f,d
e,9.82,f,s,e,d,w,8.21,16.58,n,?,d
p,3.6,b,?,k,a,k,8.49,2.55,n,f,g
p,3.84,f,y,n,e,n,4.48,3.33,w,e,d
e,5.18,x,y,g,s,y,4.47,7.8,w,f,d
e,15.6,p,s,w,e,n,10.28,18.7,w,r,m
p,0.75,x,g,o,?,y,3.2,0.65,y,f,d
p,7.41,s,t,g,d,g,4.97,12.99,g,f,d
p,1.32,x,k,n,?,n,3.92,1.49,n,f,d
p,1.5,x,g,y,d,n,1.73,2.4,n,f,d
e,4.03,x,d,n,p,y,4.54,9.59,y,f,d
p,2.44,b,g,w,?,n,6.32,3.38,n,f,g
e,8.93,x,y,e,?,w,5.74,24.18,n,e,d
e,7.8,x,t,y,x,y,9.56,17.93,w,f,d
p,3.51,x,y,y,a,w,5.21,3.37,y,r,g
e,3.92,x,?,l,a,r,4.9,8.07,l,f,d
e,17.0,p,d,e,p,n,15.02,32.62,w,f,d
p,8.27,x,i,n,a,n,11.25,13.97,n,f,h
p,2.93,o,?,g,f,f,3.3,16.78,g,f,d
e,6.05,x,t,o,p,n,6.58,12.77,n,f,d
e,3.66,b,g,n,x,w,4.71,3.09,y,f,g
p,1.02,x,g,w,a,w,2.79,1.38,n,f,d
e,11.61,p,s,n,e,g,10.34,16.88,w,l,m
e,2.88,x,s,w,d,w,3.26,5.41,w,f,g
e,6.62,x,?,n,p,g,10.49,24.08,w,f,d
p,8.96,o,k,r,?,y,1.85,16.34,n,f,d
p,7.73,x,s,n,s,g,5.21,7.92,n,f,d
p,6.81,x,s,g,s,r,5.92,14.55,w,f,d
p,9.96,x,t,n,a,w,9.49,28.14,w,f,d
p,7.73,f,?,y,x,n,6.13,12.9,w,f,d
e,52.4,o,y,y,p,y,7.68,35.37,k,f,d
e,10.28,o,?,n,?,w,5.16,21.79,n,f,d
e,16.35,x,t,n,a,k,5.98,19.25,w,f,d
p,3.75,f,d,n,x,y,4.9,2.93,n,f,l
p,2.05,b,?,n,a,g,4.5,1.78,g,f,d
e,1.37,x,g,y,d,w,6.4,2.04,y,f,d
p,10.13,s,?,y,d,o,4.53,13.07,w,f,d
e,1.17,c,g,n,a,w,6.0,1.08,n,f,h
p,3.05,x,y,y,a,w,5.08,3.2,n,r,d
p,7.09,x,t,y,x,y,5.14,13.03,y,f,d
p,2.57,p,t,n,a,g,6.99,2.45,y,e,m
p,0.63,x,?,o,d,o,4.46,1.05,o,f,g
e,15.89,s,t,w,a,k,6.86,24.89,w,f,d
e,7.39,x,d,n,p,y,8.07,16.29,y,f,d
p,1.59,x,?,n,?,k,4.9,2.51,n,f,g
p,10.37,s,?,o,d,o,5.5,12.03,w,f,d
p,5.72,b,s,n,?,w,11.13,12.62,w,z,d
p,6.91,f,d,n,d,y,5.22,8.13,e,f,d
e,5.14,x,h,n,x,n,4.86,5.56,n,r,d
p,6.75,s,?,n,d,p,6.4,7.21,e,f,d
e,1.27,p,g,g,?,g,3.3,1.76,w,f,d
e,6.85,x,y,n,e,w,6.04,10.31,n,f,d
p,5.14,o,s,n,f,f,0.0,0.0,f,f,d
p,2.52,x,i,e,?,e,3.8,4.31,e,f,d
p,7.65,x,h,e,x,w,6.66,18.75,w,f,d
e,7.59,x,h,y,p,y,6.07,14.37,y,?,d
e,6.97,x,d,b,d,o,6.99,13.05,w,f,m
e,6.73,p,?,g,f,f,5.69,16.93,n,f,l
p,9.7,o,?,n,f,f,3.07,24.17,n,f,d
e,5.13,s,l,n,f,f,6.86,44.81,n,f,l
p,5.12,o,t,r,?,y,1.66,15.4,n,f,d
p,8.82,s,?,r,d,o,5.76,12.71,w,f,d
e,1.45,x,s,y,d,w,6.09,1.74,y,f,h
p,8.27,x,e,n,a,n,10.86,15.34,n,f,h
e,10.69,f,s,n,d,w,7.97,14.36,n,?,d
e,10.77,p,s,w,e,k,20.29,12.7,w,e,d
p,6.96,x,?,u,x,u,7.38,16.66,u,f,d
p,2.38,p,t,n,a,n,7.99,2.64,y,e,m
p,0.49,x,?,o,d,o,3.69,0.87,o,f,g
p,0.98,x,g,w,a,w,3.67,1.66,e,f,d
p,11.35,x,?,n,p,p,9.57,28.37,n,f,d
p,6.26,x,e,e,a,n,8.15,10.39,e,z,d
p,2.73,o,l,g,f,f,0.0,0.0,f,f,d
e,5.16,f,?,w,x,n,6.55,4.4,w,f,d
e,6.71,f,h,n,s,y,8.55,13.21,o,f,d
p,21.48,x,k,w,d,w,7.56,31.21,w,f,d
e,8.17,x,l,w,d,w,3.62,9.83,w,f,g
p,1.43,b,h,n,a,n,3.42,1.28,n,f,g
p,8.41,x,i,n,a,n,10.08,14.31,n,f,d
p,5.04,x,?,p,?,g,3.98,12.61,y,f,d
p,2.03,p,t,n,a,n,8.52,2.7,y,e,m
e,9.78,f,e,b,?,b,4.98,19.46,w,f,d
e,6.73,x,h,n,p,n,6.85,17.1,n,p,d
e,5.38,x,t,o,p,n,5.83,12.04,n,f,d
e,9.29,x,?,n,?,w,11.29,14.49,w,g,d
e,8.17,x,w,y,f,f,6.46,16.22,y,f,d
p,3.79,f,t,n,x,p,5.51,3.99,n,f,d
e,9.6,s,?,w,d,p,5.78,23.75,w,f,d
e,5.65,x,d,y,p,y,7.06,15.62,y,f,d
p,2.55,f,t,n,?,n,8.01,3.45,y,f,g
p,6.98,s,d,e,d,n,6.96,9.18,e,f,d
p,1.55,x,g,n,d,n,2.3,2.51,n,f,d
e,10.67,f,y,y,?,w,7.44,25.38,n,e,d
e,10.42,f,?,n,?,w,11.5,17.75,w,g,d
e,9.72,x,h,n,p,n,8.54,18.53,n,p,d
p,6.55,o,k,n,?,o,1.59,17.21,y,f,d
p,6.37,s,d,n,d,n,7.31,8.78,n,f,d
p,8.07,x,i,y,a,n,7.74,7.95,n,z,g
e,3.74,x,h,n,?,k,7.04,7.38,w,f,d
p,3.74,x,y,y,a,w,6.14,3.61,n,r,h
e,5.89,x,y,w,e,p,4.89,11.16,w,e,g
e,2.99,b,g,w,x,w,4.89,3.36,y,f,g
p,7.35,x,i,n,a,n,7.93,8.2,n,z,g
e,6.13,x,?,w,e,w,6.52,13.38,w,g,d
e,3.07,x,h,p,a,e,4.31,5.32,e,f,m
p,2.87,f,?,w,a,w,4.0,3.58,w,f,p
p,5.82,x,?,e,?,w,4.05,12.22,y,f,d
e,8.38,f,?,p,x,w,7.71,18.34,w,f,d
p,21.29,x,g,o,p,y,5.0,35.64,n,f,d
p,3.78,f,t,n,x,p,5.44,4.2,n,f,d
e,15.31,x,e,n,a,w,7.18,26.16,w,f,d
e,5.92,x,s,k,a,w,4.68,15.16,w,f,d
p,7.48,b,t,w,e,w,14.28,13.43,w,e,d
p,2.48,x,g,n,a,w,6.33,2.36,n,f,d
e,7.77,f,?,w,d,y,2.27,11.47,w,f,d
e,9.5,x,h,n,p,y,7.93,13.2,n,f,g
e,2.86,b,y,n,?,n,6.63,2.97,w,f,d
p,1.36,x,g,y,d,n,2.13,2.4,n,f,h
p,6.72,f,?,n,d,w,5.9,10.79,n,f,l
p,7.33,s,t,p,d,p,8.29,15.45,p,f,d
p,3.99,b,s,y,?,r,8.16,7.49,y,z,d
e,5.58,x,y,n,s,w,5.02,7.86,w,f,d
e,10.41,s,?,u,s,u,6.57,21.3,u,f,l
e,3.21,x,?,y,a,y,3.91,10.55,w,f,d
p,13.47,f,d,n,d,y,4.85,30.77,n,f,d
p,5.88,x,s,r,s,r,5.68,13.81,w,f,d
p,5.56,c,i,y,?,n,6.47,7.32,w,f,d
e,11.48,f,y,n,?,w,6.78,25.75,n,e,d
e,7.41,s,?,u,s,u,6.71,18.25,u,f,d
p,3.1,x,s,g,d,w,2.99,7.84,w,f,g
p,4.67,o,s,n,?,w,0.0,0.0,f,f,d
p,1.03,b,t,y,?,k,2.8,2.48,n,f,g
p,2.95,f,d,r,a,r,5.33,6.53,r,f,d
p,3.1,s,?,u,a,w,3.75,7.06,y,f,d
e,6.53,x,y,n,e,p,5.51,9.04,n,f,d
e,6.59,s,?,n,d,w,4.93,8.28,w,f,d
e,3.18,f,h,n,?,k,5.76,6.08,w,f,d
e,4.23,b,g,w,x,w,4.61,3.1,y,f,g
p,3.2,b,y,n,?,g,5.69,4.32,w,f,d
e,9.25,s,t,o,d,o,5.93,16.87,w,f,d
e,13.08,s,?,w,d,p,7.89,30.04,w,f,d
p,7.52,x,h,r,?,w,11.15,15.12,w,g,d
p,2.05,p,t,n,a,n,6.75,2.39,y,e,m
e,5.85,b,h,k,s,w,5.42,10.14,g,f,d
p,1.8,c,h,y,?,y,7.18,3.23,y,f,g
p,6.37,x,d,n,a,y,5.54,6.6,y,?,d
p,6.34,f,h,n,x,w,14.43,7.63,n,f,d
e,2.86,x,?,b,?,w,6.85,4.69,w,f,d
e,1.25,c,g,e,a,w,6.39,1.24,n,f,h
p,2.09,f,i,l,a,w,4.68,2.78,w,f,g
p,7.51,x,t,y,x,y,5.55,16.24,y,f,d
e,7.85,f,s,n,d,w,9.32,14.73,n,?,d
p,7.47,x,y,w,?,p,8.74,15.41,w,l,g
e,5.0,x,?,w,x,w,8.1,10.09,w,?,g
e,10.27,p,i,n,e,p,9.3,17.16,w,p,l
e,7.32,f,y,n,e,p,5.16,13.3,w,r,w
e,1.45,x,g,n,d,w,6.59,2.14,y,f,g
p,2.08,f,s,o,a,o,2.37,4.76,y,f,h
e,13.76,f,?,g,d,y,2.74,17.7,w,f,d
e,9.57,f,s,w,e,w,15.02,11.21,w,e,u
e,14.94,x,e,n,e,w,9.98,17.63,w,?,g
p,4.63,b,y,n,e,w,5.25,3.78,w,e,m
e,15.36,x,y,n,e,w,10.19,17.73,w,?,g
e,45.32,o,y,y,p,y,7.36,29.87,n,f,d
p,9.41,s,t,p,d,p,7.43,15.0,p,f,d
p,1.35,x,g,y,d,n,1.92,2.24,n,f,d
e,2.52,f,y,n,d,p,4.96,3.42,n,f,l
p,4.82,f,l,y,x,e,5.36,4.74,n,f,d
e,10.63,p,w,n,p,w,13.21,62.03,n,f,d
p,3.82,b,t,n,x,p,6.32,4.37,n,f,d
e,6.44,x,d,e,p,y,5.88,12.79,y,f,d
e,9.07,x,?,g,a,w,8.0,14.09,w,f,d
e,1.67,x,g,n,d,w,5.63,2.19,y,f,h
p,2.32,b,g,n,?,n,5.84,2.86,n,f,d
p,10.11,x,e,y,p,o,7.06,25.85,u,f,d
p,8.38,f,t,n,x,y,5.88,15.48,y,f,d
e,1.63,c,g,n,a,w,4.98,1.57,g,f,d
p,3.86,f,y,e,e,n,4.26,3.45,w,e,m
p,3.17,x,h,o,a,n,3.64,5.44,o,z,d
p,7.85,x,e,n,a,n,8.03,13.07,n,f,d
p,6.52,c,e,y,x,p,6.66,13.56,w,f,g
p,6.49,x,?,y,s,y,5.24,12.25,y,f,d
p,10.43,x,t,n,a,w,11.69,29.28,w,f,d
p,5.07,f,l,e,x,e,6.84,5.18,n,f,d
e,17.95,x,w,n,p,w,20.09,81.36,n,f,d
p,2.63,f,?,u,a,n,3.32,3.31,w,f,p
p,1.78,p,t,n,a,g,5.89,2.34,y,e,m
e,3.38,x,s,p,a,o,4.9,6.59,e,f,g
p,0.82,x,g,o,?,y,3.38,0.71,y,f,d
e,7.16,x,d,y,p,r,5.64,11.9,y,f,d
e,3.67,x,s,w,d,w,2.84,5.45,w,f,g
e,17.39,f,y,w,?,w,24.06,19.08,n,m,m
p,3.11,x,y,y,a,w,5.59,3.6,n,r,g
e,5.62,s,d,o,d,o,5.44,11.52,w,f,m
e,9.72,f,?,l,d,y,2.33,15.35,w,f,d
p,6.75,f,k,y,p,n,4.68,7.0,n,f,d
p,6.78,x,h,e,x,w,14.78,7.31,n,f,d
p,3.11,x,?,b,x,w,4.74,5.59,w,f,d
e,5.28,s,d,b,d,b,5.1,11.43,w,f,d
e,7.02,s,?,y,a,w,5.25,12.9,w,f,d
e,8.57,x,h,y,p,y,6.92,14.06,y,?,d
p,3.22,f,d,n,x,y,4.01,2.79,n,f,l
e,1.17,x,w,g,?,g,4.46,2.47,w,f,d
e,15.0,s,e,g,a,w,8.72,22.46,w,f,l
p,1.76,x,?,n,?,k,5.65,2.7,n,f,g
e,16.72,p,w,n,p,y,18.75,77.79,n,f,d
p,2.77,s,s,g,d,w,2.94,7.75,w,f,g
e,9.73,x,h,n,p,y,8.7,17.76,n,p,d
p,1.73,b,g,w,?,n,5.45,3.12,n,f,m
e,6.43,x,s,b,x,w,6.7,9.19,n,f,l
e,15.27,x,s,k,a,k,6.09,23.34,w,f,d
p,1.27,x,s,y,f,f,3.89,5.12,y,f,d
p,8.3,b,t,w,e,w,13.73,12.63,w,e,d
p,7.19,x,g,n,e,w,7.24,17.2,w,p,d
p,10.46,x,e,y,p,o,8.8,30.23,e,f,d
e,2.88,x,?,b,?,w,7.53,5.32,w,f,d
e,7.38,x,h,y,x,y,6.77,14.63,w,f,d
p,6.05,x,g,n,e,w,7.31,14.96,w,p,d
e,3.58,x,h,n,?,k,6.03,6.16,w,f,d
e,4.08,b,g,n,x,w,4.66,2.57,y,f,g
p,2.89,o,?,k,f,f,2.9,11.57,n,f,d
e,9.83,x,y,n,?,w,7.81,25.26,n,e,d
e,6.85,x,l,w,d,w,3.67,10.45,w,f,d
p,4.01,f,l,e,x,n,6.74,5.38,n,f,d
e,13.04,x,t,n,p,y,8.22,22.42,n,f,d
e,9.29,f,s,n,d,w,9.4,14.21,n,?,d
e,1.43,x,g,y,a,w,5.99,1.77,y,f,d
p,2.18,c,t,y,?,y,8.52,3.05,y,f,g
p,9.0,o,?,e,f,f,3.21,23.26,n,f,d
p,7.57,o,e,n,?,o,1.4,14.52,n,f,d
e,7.43,x,s,n,x,w,8.27,11.76,n,f,l
p,3.01,o,?,g,f,f,3.89,15.11,g,f,d
p,1.62,x,?,n,?,k,5.14,2.49,n,f,g
e,6.0,x,h,n,e,w,12.97,12.1,w,f,d
p,4.19,s,?,u,a,w,4.67,7.94,y,f,d
p,14.02,f,t,r,d,b,5.06,25.27,g,f,g
p,3.15,s,w,u,a,u,4.57,5.1,u,f,d
e,20.02,p,y,n,?,w,24.09,18.73,n,m,d
p,5.82,s,?,n,d,b,5.92,5.65,e,f,d
e,5.68,x,?,y,e,w,5.57,11.47,y,g,d
p,1.96,f,h,n,?,y,8.42,3.88,y,f,g
p,1.43,f,s,y,f,f,4.07,6.11,y,f,d
p,2.91,x,d,w,d,p,3.83,2.44,w,f,g
p,7.07,f,?,n,x,w,9.07,10.03,w,f,d
p,13.39,f,t,k,d,n,4.94,25.0,g,f,d
p,1.7,b,h,n,a,n,5.15,1.73,n,f,g
e,3.88,x,t,n,p,n,5.29,12.05,n,f,d
p,7.98,f,?,y,x,y,6.95,12.52,w,f,d
p,8.71,x,e,o,a,y,11.37,21.89,o,r,d
p,8.4,x,t,n,d,n,4.61,13.58,n,f,d
e,7.05,x,y,n,e,p,5.11,10.23,n,f,d
e,16.4,x,w,n,p,y,15.42,68.03,n,f,d
e,7.85,f,s,u,a,w,4.33,15.66,w,f,d
e,8.41,x,h,n,p,y,6.38,11.82,n,f,h
p,4.95,x,y,l,s,u,6.17,7.7,n,e,d
p,4.98,f,?,u,a,w,4.67,8.64,w,f,d
e,5.94,x,t,n,e,w,12.68,12.49,w,f,d
p,8.97,x,?,n,p,p,10.93,33.03,n,f,d
p,3.03,o,l,g,f,f,0.0,0.0,f,f,d
e,1.59,c,g,n,a,w,5.39,1.75,g,f,l
e,1.4,f,g,e,a,w,6.57,1.19,n,f,h
e,6.24,x,l,w,d,w,3.59,8.82,w,f,d
p,0.74,x,g,n,a,n,4.32,1.02,k,f,d
p,2.52,b,y,n,?,g,5.04,4.2,w,f,d
p,8.59,x,w,p,s,p,4.9,9.99,p,f,d
p,2.36,f,h,n,?,n,8.07,3.1,y,f,g
p,3.34,x,y,n,a,w,5.49,3.35,y,r,g
p,5.44,x,i,o,e,k,7.1,7.27,k,f,g
e,6.11,f,w,y,f,f,4.79,13.16,y,f,d
p,3.63,b,y,n,?,w,6.11,4.38,w,f,d
e,9.0,x,?,n,s,p,6.06,20.65,u,f,d
e,12.87,x,s,w,e,n,9.88,17.29,w,l,m
e,7.15,x,d,y,p,y,6.82,15.98,y,f,d
e,15.69,f,y,n,?,w,23.92,20.45,n,m,d
e,4.44,x,t,n,d,o,6.2,7.52,w,f,d
e,7.93,x,d,y,p,y,8.41,16.78,y,f,d
p,7.74,f,h,e,x,w,5.68,18.59,w,f,d
e,7.8,x,?,n,a,w,5.79,12.82,g,f,d
e,5.64,x,y,n,e,p,4.31,12.71,w,r,w
e,6.1,s,?,y,a,w,4.51,14.49,w,f,d
p,6.35,s,k,n,p,n,3.33,4.98,n,f,d
e,9.64,x,h,n,p,n,8.06,17.78,n,p,d
e,13.7,p,s,n,e,n,10.97,17.65,w,r,m
p,2.84,x,s,w,d,w,2.99,8.22,w,f,g
p,7.68,x,y,w,?,g,7.96,16.75,w,l,g
p,3.27,o,?,w,f,f,4.76,25.54,w,f,d
p,7.48,f,y,u,s,y,6.78,17.05,u,f,d
p,6.84,f,?,g,d,w,5.95,11.01,n,f,l
e,10.6,f,s,n,d,w,10.41,16.61,n,?,d
e,8.92,x,?,n,p,g,13.14,29.27,w,f,d
p,1.85,b,g,w,?,n,5.52,2.97,n,f,d
e,5.89,x,s,n,x,w,7.16,9.7,n,f,l
e,7.98,x,?,n,p,g,12.05,26.24,w,f,d
e,8.91,o,?,n,?,w,3.43,17.97,n,f,d
p,3.0,b,?,g,a,n,10.43,2.53,g,f,g
e,4.37,f,t,n,a,y,7.79,6.48,o,f,d
e,12.55,p,d,n,p,w,13.9,31.03,w,f,d
e,10.33,x,t,n,p,y,7.05,21.48,n,f,d
p,2.83,s,d,w,a,w,3.54,2.55,w,f,g
e,11.21,s,?,w,d,w,5.51,25.04,w,f,d
e,10.32,p,y,w,e,p,17.15,11.76,w,e,g
e,8.56,x,?,p,x,w,7.22,15.94,w,f,d
p,3.51,x,i,e,?,e,4.26,4.63,e,f,d
e,23.28,p,w,n,p,y,15.46,68.82,n,f,d
p,12.86,x,k,n,p,e,9.37,28.67,y,f,d
e,7.21,f,s,n,s,y,9.16,12.97,n,f,d
e,4.88,f,g,n,a,g,5.54,3.62,n,f,d
p,5.82,c,k,w,x,p,8.28,14.53,w,f,d
p,6.61,s,d,n,d,n,7.75,10.38,n,f,d
p,5.82,o,t,w,?,w,0.0,0.0,f,f,d
e,6.22,x,d,y,p,y,7.54,13.78,y,f,d
e,10.38,x,s,w,s,w,5.56,33.31,w,f,d
p,7.49,f,w,p,s,p,4.4,10.05,p,f,d
p,10.61,o,?,n,f,f,3.58,23.85,n,f,d
p,3.68,b,y,n,?,u,6.24,4.54,w,f,d
e,7.64,x,d,n,p,y,4.83,11.54,y,f,d
p,9.68,f,y,e,s,y,7.43,22.19,y,f,d
e,5.54,s,w,y,f,f,5.94,13.29,y,f,d
p,3.3,f,y,n,e,w,4.34,3.5,w,e,d
e,4.48,x,t,o,p,n,4.42,11.12,e,f,d
p,0.84,x,g,o,?,y,3.68,0.72,y,f,d
e,57.4,o,y,y,p,y,9.29,57.22,n,f,d
e,7.18,x,s,n,e,p,4.61,9.29,n,f,d
p,10.63,x,t,n,a,w,12.04,30.38,w,f,d
p,3.32,b,y,e,e,w,4.18,3.32,w,e,m
p,5.65,x,?,y,s,y,5.65,12.12,y,f,d
p,9.1,o,?,e,f,f,3.37,23.75,n,f,d
p,3.52,o,t,w,?,w,0.0,0.0,f,f,d
p,3.8,x,y,n,a,w,6.12,3.66,y,r,d
e,11.32,f,?,n,?,w,10.51,15.09,w,g,d
p,7.03,f,?,n,d,w,6.96,12.05,n,f,l
p,2.26,f,?,w,a,w,3.44,3.61,w,f,p
p,3.26,s,w,n,d,n,2.93,5.57,n,f,d
p,19.92,s,s,n,d,y,6.19,41.55,n,f,d
e,6.75,f,i,n,e,n,5.09,13.57,w,r,w
e,5.81,s,?,n,d,w,6.0,8.28,w,f,l
p,7.11,p,y,n,?,w,12.75,13.11,w,z,g
e,2.86,x,d,e,a,e,4.75,6.67,o,f,g
e,5.75,x,y,n,e,p,5.42,9.7,n,f,d
p,6.33,s,t,g,d,w,4.23,11.97,r,f,d
p,2.1,x,i,k,a,w,4.08,2.36,w,f,g
e,5.9,s,?,n,d,w,3.79,6.88,w,f,h
p,5.5,x,s,r,s,r,4.94,11.14,w,f,d
e,5.22,o,l,n,f,f,7.72,55.98,n,f,d
e,5.51,s,s,o,d,o,6.51,12.28,w,f,d
e,7.02,s,?,n,d,w,6.49,9.09,w,f,l
p,6.52,x,s,r,s,r,5.18,13.75,w,f,d
e,1.17,p,g,w,?,g,3.25,1.55,w,f,d
e,7.22,x,y,n,e,w,4.48,9.96,n,f,d
e,11.35,s,t,p,d,o,6.89,18.33,w,f,d
p,7.65,s,t,g,d,w,4.51,13.51,n,f,d
p,2.15,f,h,y,?,n,6.94,2.83,y,f,g
e,5.38,x,?,l,a,r,6.19,8.61,r,f,l
e,2.46,b,y,n,?,n,6.03,2.9,w,f,d
e,6.87,x,t,y,x,y,8.58,18.17,w,f,d
e,2.6,b,y,n,?,n,6.17,2.51,w,f,d
e,5.08,x,y,g,s,y,4.67,6.53,w,f,d
p,6.31,s,?,n,d,w,5.78,5.78,e,f,d
p,4.05,o,?,w,f,f,5.77,32.81,w,f,p
p,4.61,f,l,y,x,n,5.97,5.32,n,f,d
e,4.93,x,h,n,x,w,5.74,5.94,n,r,d
p,3.2,x,y,y,a,w,5.71,3.67,y,r,d
e,7.99,x,?,g,p,g,11.78,26.71,w,f,d
p,5.57,x,i,o,e,k,6.9,7.63,y,f,g
e,10.07,f,y,e,?,w,7.87,24.23,n,e,d
e,11.84,f,e,b,?,b,4.85,18.87,w,f,d
e,3.18,b,y,n,?,n,6.56,3.0,w,f,d
e,4.16,x,?,n,x,w,8.24,10.09,w,?,d
p,2.31,f,y,o,d,y,2.69,5.43,y,f,m
e,6.35,s,?,n,d,w,5.0,8.09,w,f,h
p,15.02,f,h,e,e,w,16.89,17.26,w,p,d
e,1.02,x,g,n,a,p,5.85,1.16,n,f,d
p,6.95,f,w,p,s,p,4.39,9.43,p,f,d
e,10.16,p,i,n,e,p,8.98,16.65,w,p,l
p,5.88,s,d,o,d,y,3.05,6.51,o,f,d
p,4.92,b,k,n,a,n,5.18,5.87,n,?,d
e,3.2,x,d,n,p,y,4.33,10.09,n,f,d
p,6.07,x,e,e,a,w,7.79,9.73,y,z,d
p,3.47,x,t,l,s,u,5.13,6.22,w,e,g
e,6.37,f,h,g,s,w,5.61,9.56,g,f,d
p,13.99,x,g,e,e,w,15.42,15.85,w,g,d
e,8.63,f,y,w,e,p,16.49,10.95,w,e,d
p,3.45,x,i,e,?,e,4.45,6.51,e,f,d
p,1.17,x,g,y,d,n,1.78,2.4,n,f,h
p,5.97,x,e,e,a,n,8.74,10.22,y,z,d
e,9.18,f,s,y,d,w,7.82,12.0,n,?,d
e,15.73,x,e,n,e,w,10.64,18.0,w,?,g
e,7.3,x,d,n,p,r,6.02,13.06,y,f,d
p,4.16,s,d,o,d,y,2.82,5.35,y,f,d
e,5.07,x,y,n,e,p,4.78,9.46,n,f,d
p,0.73,x,g,o,?,y,3.55,0.72,w,f,d
p,2.66,x,i,l,a,w,4.77,2.6,w,f,g
e,7.88,x,?,n,p,g,12.31,25.03,w,f,d
e,10.14,p,i,n,e,p,9.06,18.03,w,p,l
p,4.92,o,s,g,f,f,0.0,0.0,f,f,d
p,3.81,o,?,w,f,f,5.72,29.25,w,f,d
e,12.41,x,s,r,x,n,8.0,24.03,w,f,d
p,8.33,s,h,n,d,w,4.64,13.57,r,f,d
p,1.67,f,t,y,?,y,7.62,2.43,y,f,g
p,3.12,f,w,u,a,u,4.94,5.0,u,f,l
e,1.67,f,w,g,?,k,5.33,2.55,w,f,g
p,4.29,b,s,y,?,y,9.44,7.66,y,z,d
e,4.57,f,t,n,d,o,6.29,8.74,w,f,d
e,18.71,p,d,e,p,w,16.69,35.19,w,f,d
p,1.91,x,i,l,a,w,4.06,2.42,w,f,g
p,4.63,o,s,r,f,f,0.0,0.0,f,f,d
e,5.82,f,s,b,x,w,6.81,9.98,n,f,l
p,6.53,f,w,p,s,p,3.36,9.29,p,f,d
p,10.11,o,?,n,f,f,3.89,25.93,n,f,d
e,6.88,x,?,n,p,g,10.78,25.92,w,f,d
e,7.74,f,t,n,s,n,8.93,11.78,n,f,d
p,18.64,f,k,w,d,w,7.61,29.8,w,f,d
p,1.33,s,s,y,f,f,3.4,5.48,y,f,d
p,6.25,x,s,r,s,r,6.74,17.59,n,f,d
e,1.62,x,g,y,a,w,6.21,2.09,y,f,g
e,15.44,f,e,g,a,w,8.78,28.36,w,f,l
p,8.08,p,y,n,?,p,16.57,16.87,w,f,d
e,4.98,f,?,n,x,u,6.89,3.77,w,f,d
p,1.63,x,g,y,d,n,2.26,2.61,n,f,h
e,7.07,x,s,k,a,w,4.4,15.14,w,f,d
e,3.96,f,h,n,?,k,6.88,7.08,w,f,d
p,1.42,x,?,n,?,n,4.73,2.33,n,f,g
e,11.82,s,?,w,d,w,5.3,25.45,w,f,d
p,7.76,x,w,n,x,w,13.18,8.29,n,f,d
p,5.97,c,k,y,x,r,8.0,12.82,w,f,g
p,12.95,f,?,n,e,w,10.92,14.22,w,g,d
e,5.88,x,?,y,e,w,5.78,11.15,w,g,d
e,8.4,p,y,n,e,p,9.25,17.48,w,p,d
p,14.52,x,e,n,p,y,8.06,27.26,y,f,d
p,8.13,x,t,n,x,y,6.2,16.4,y,f,d
p,4.66,x,?,w,?,w,3.71,13.64,y,f,d
e,10.75,f,e,b,?,b,5.13,18.93,w,f,d
p,1.42,b,h,n,a,n,4.22,1.32,n,f,d
p,1.05,x,g,w,a,w,3.05,1.61,e,f,d
p,7.16,s,t,y,x,y,5.2,11.98,y,f,d
p,5.58,x,h,o,a,n,4.66,6.22,n,z,d
e,5.32,x,t,n,a,n,5.42,5.06,w,l,d
p,4.71,f,?,n,x,p,9.02,4.53,p,f,d
p,8.19,f,y,e,s,y,6.8,18.36,y,f,d
e,3.5,x,s,w,d,w,3.7,6.88,w,f,g
e,6.18,f,s,n,x,w,6.28,9.59,n,f,l
e,6.5,f,y,g,s,g,5.38,10.78,w,f,d
